Ticker,FY13,FY14,FY15,FY16,FY17,FY18,FY19,FY20,FY21,FY22,FY23,FY24,FY25
ADANIPORTS.NS,0.005863915307,0.02767869518,0.04551687425,-0.01362453114,0.02874892929,0.003489072437,0.008140525116,-0.02803944,0.09711201497,0.004794169009,-0.01341101462,0.06486610376,-0.01838885256
ASIANPAINT.NS,0.03774683842,0.01411927848,0.03591692511,0.005783047937,0.0184129479,0.002475005739,0.02510980983,0.009850388009,0.03472094964,0.01768406932,-0.00448974769,0.003423137479,-0.01550805907
AXISBANK.NS,0.01568097055,0.02082425451,0.05025385912,-0.01828814174,0.007245626328,0.003598780509,0.03754114151,-0.04374856333,0.05484000762,0.005847555985,0.01645051332,0.01564256372,0.00314498118
BAJAJFINSV.NS,0.01656260209,0.005769616615,0.05426508242,0.01630419718,0.07419742882,0.02159321285,0.02646716129,-0.01362733828,0.07471070483,0.04993761238,-0.01579449045,0.02102731259,0.01326890111
BAJFINANCE.NS,0.03543373497,0.0431069952,0.06187286633,0.04355062929,0.0448486653,0.03376590326,0.0476752076,-0.004440944516,0.08572230757,0.03088271557,-0.01342576101,0.02136385421,0.01601211645
BEL.NS,-0.02300705119,0.006110739246,0.1042056305,0.01368439652,0.02168859577,-0.003359388219,-0.03212617967,-0.006532982535,0.05146526374,0.04385666458,0.02876091908,0.06003251855,0.02785406711
BHARTIARTL.NS,-0.006860991029,0.01350146304,0.0199922739,-0.002887654425,0.002888330414,0.01232435382,-0.01506366077,0.02898796598,0.01275131807,0.03253298915,-0.0006518402651,0.04605162118,0.02670265311
HCLTECH.NS,0.04385654152,0.05179764772,0.02827059478,0.004902309533,0.006216468858,0.01062199346,0.01091866195,-0.01607678258,0.0757591067,0.01773002475,0.0005058831588,0.03303571244,0.005940231824
HDFCBANK.NS,0.0187973253,0.01634985282,0.02696063998,0.005146507947,0.02559142827,0.0231092704,0.01792570651,-0.01955833249,0.046435038,0.001851265634,0.01005231398,-0.005827604353,0.01610113229
HINDUNILVR.NS,0.0117546291,0.02762527397,0.03347957214,0.002078167121,0.0033624168,0.03300565858,0.02178399274,0.02513348726,0.006410583866,-0.0136315945,0.01951843783,-0.0101690154,0.002143894452
ICICIBANK.NS,0.017030148,0.02113548977,0.02027924544,-0.02089589811,0.02130010407,0.009382250842,0.03191041624,-0.00810864876,0.04656278008,0.02208928311,0.01935203051,0.01792811942,0.01530424102
INFY.NS,0.005992418131,0.01512799559,0.02741054003,0.01047737276,-0.01195093388,0.01032516786,0.02321761729,-0.008910737746,0.07103376109,0.02912290955,-0.01967252424,0.007572687889,0.007191587943
ITC.NS,0.02951750127,0.01398898425,0.002857170549,0.002820345823,0.02350127339,-0.01287902287,0.01312539665,-0.03640857049,0.02369426583,0.01698634204,0.04090390336,0.01218268032,0.0008001684323
KOTAKBANK.NS,0.01668708931,0.0193687728,0.04161505898,0.008023466605,0.01929103467,0.01516947202,0.02491318852,0.003512216076,0.03073386236,-0.0004189522296,0.00386934611,0.006506558818,0.01771402324
LT.NS,0.006892320053,0.03667369689,0.02507987336,-0.02594112947,0.02406520732,0.01803756836,0.001270029501,-0.03255173068,0.04897880527,0.02073511842,0.02097723223,0.04584985738,-0.007457998277
M&M.NS,0.01753061695,0.01791808452,0.0209009926,0.004928553347,0.005674501072,0.009231610831,-0.0123083896,-0.05388820998,0.09350722891,0.003488491252,0.03238558173,0.04117361113,0.02429435561
MARUTI.NS,-0.002498881716,0.04762021615,0.05653350621,0.001833296861,0.03827236196,0.02802177003,-0.0248550816,-0.02454486914,0.03931023177,0.01081581839,0.00784033357,0.03567624769,-0.008573918249
NTPC.NS,-0.009525187538,-0.007700739212,0.0232040297,-0.006071640638,0.02429323569,0.004457556225,0.001327955523,-0.03518132993,0.02920858182,0.02461543399,0.02579957556,0.059375032,-0.0002763520956
POWERGRID.NS,-0.0003743481944,0.008361129539,0.03068086611,-0.002588687426,0.03003379987,-0.0004636709689,0.007667034229,-0.01430637565,0.02901707786,0.03046160523,0.007633924782,0.04639607542,0.0008314640619
RELIANCE.NS,0.004491288572,0.01847168206,-0.009220254516,0.02327443061,0.02142174307,0.02311088005,0.03731877082,-0.01505734157,0.05413394429,0.02388863321,-0.009839894842,0.02669123709,-0.01545755659
SBIN.NS,0.001451979464,-0.0005629871398,0.02937740386,-0.02514721554,0.03405140098,-0.01174835945,0.02020012658,-0.02780418585,0.05974920486,0.02815952724,0.008873353079,0.03279969973,-0.000009153928742
SUNPHARMA.NS,0.03337523627,0.03249862732,0.04625998937,-0.01063667158,-0.01711429938,-0.02461149622,0.004476652585,-0.02054374774,0.04376936132,0.03543065443,0.007239943615,0.04307016408,0.004586480425
TATASTEEL.NS,-0.03054021028,0.02912152803,-0.01344355111,0.009808201644,0.03596726386,0.01923830435,-0.0117566799,-0.04081887056,0.1034116389,0.04406029199,-0.01039939826,0.0338611428,-0.003476322325
TCS.NS,0.02802029302,0.0331870954,0.01666775425,0.00009542857894,-0.001770017297,0.01717197727,0.03018665814,-0.006849600778,0.04862835223,0.01376354104,-0.01056082562,0.01615716719,-0.00223528637
TECHM.NS,0.03380640359,0.0477237652,0.03287652291,-0.01915068662,0.003304745571,0.02798524048,0.01845309556,-0.02242105031,0.05306833123,0.04022466725,-0.01854543909,0.01297289614,0.01217495055
TITAN.NS,0.01254289749,0.01201439674,0.03257901925,-0.0005490476367,0.02511110054,0.06109454439,0.01485057517,-0.008374709058,0.045578973,0.03945991198,0.002958018707,0.03248143819,-0.01885702509
TRENT.NS,0.007332232558,0.005748469362,0.03504243822,0.008924156398,0.0402633306,0.01454998109,0.005211066963,0.03391856733,0.04265957489,0.04561362774,0.008096223912,0.0923101442,0.02524233882
ULTRACEMCO.NS,0.01841950829,0.01781446103,0.02194911132,0.01167474211,0.01791526758,-0.003228604125,-0.002130042933,-0.01034153243,0.06292322924,-0.002718961355,0.01425852107,0.01911559684,0.01126777642
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Ticker,FY25,FY24,FY23,FY22,FY21,FY20,FY19,FY18,FY17,FY16,FY15,FY14,
ADANIPORTS.NS,-0.01838885256,0.06486610376,-0.01341101462,0.004794169009,0.09711201497,-0.02803944,0.008140525116,0.003489072437,0.02874892929,-0.01362453114,0.04551687425,0.02767869518,
ASIANPAINT.NS,-0.01550805907,0.003423137479,-0.00448974769,0.01768406932,0.03472094964,0.009850388009,0.02510980983,0.002475005739,0.0184129479,0.005783047937,0.03591692511,0.01411927848,
AXISBANK.NS,0.00314498118,0.01564256372,0.01645051332,0.005847555985,0.05484000762,-0.04374856333,0.03754114151,0.003598780509,0.007245626328,-0.01828814174,0.05025385912,0.02082425451,
BAJAJFINSV.NS,0.01326890111,0.02102731259,-0.01579449045,0.04993761238,0.07471070483,-0.01362733828,0.02646716129,0.02159321285,0.07419742882,0.01630419718,0.05426508242,0.005769616615,
BAJFINANCE.NS,0.01601211645,0.02136385421,-0.01342576101,0.03088271557,0.08572230757,-0.004440944516,0.0476752076,0.03376590326,0.0448486653,0.04355062929,0.06187286633,0.0431069952,
BEL.NS,0.02785406711,0.06003251855,0.02876091908,0.04385666458,0.05146526374,-0.006532982535,-0.03212617967,-0.003359388219,0.02168859577,0.01368439652,0.1042056305,0.006110739246,
BHARTIARTL.NS,0.02670265311,0.04605162118,-0.0006518402651,0.03253298915,0.01275131807,0.02898796598,-0.01506366077,0.01232435382,0.002888330414,-0.002887654425,0.0199922739,0.01350146304,
HCLTECH.NS,0.005940231824,0.03303571244,0.0005058831588,0.01773002475,0.0757591067,-0.01607678258,0.01091866195,0.01062199346,0.006216468858,0.004902309533,0.02827059478,0.05179764772,
HDFCBANK.NS,0.01610113229,-0.005827604353,0.01005231398,0.001851265634,0.046435038,-0.01955833249,0.01792570651,0.0231092704,0.02559142827,0.005146507947,0.02696063998,0.01634985282,
HINDUNILVR.NS,0.002143894452,-0.0101690154,0.01951843783,-0.0136315945,0.006410583866,0.02513348726,0.02178399274,0.03300565858,0.0033624168,0.002078167121,0.03347957214,0.02762527397,
ICICIBANK.NS,0.01530424102,0.01792811942,0.01935203051,0.02208928311,0.04656278008,-0.00810864876,0.03191041624,0.009382250842,0.02130010407,-0.02089589811,0.02027924544,0.02113548977,
INFY.NS,0.007191587943,0.007572687889,-0.01967252424,0.02912290955,0.07103376109,-0.008910737746,0.02321761729,0.01032516786,-0.01195093388,0.01047737276,0.02741054003,0.01512799559,
ITC.NS,0.0008001684323,0.01218268032,0.04090390336,0.01698634204,0.02369426583,-0.03640857049,0.01312539665,-0.01287902287,0.02350127339,0.002820345823,0.002857170549,0.01398898425,
KOTAKBANK.NS,0.01771402324,0.006506558818,0.00386934611,-0.0004189522296,0.03073386236,0.003512216076,0.02491318852,0.01516947202,0.01929103467,0.008023466605,0.04161505898,0.0193687728,
LT.NS,-0.007457998277,0.04584985738,0.02097723223,0.02073511842,0.04897880527,-0.03255173068,0.001270029501,0.01803756836,0.02406520732,-0.02594112947,0.02507987336,0.03667369689,
M&M.NS,0.02429435561,0.04117361113,0.03238558173,0.003488491252,0.09350722891,-0.05388820998,-0.0123083896,0.009231610831,0.005674501072,0.004928553347,0.0209009926,0.01791808452,
MARUTI.NS,-0.008573918249,0.03567624769,0.00784033357,0.01081581839,0.03931023177,-0.02454486914,-0.0248550816,0.02802177003,0.03827236196,0.001833296861,0.05653350621,0.04762021615,
NTPC.NS,-0.0002763520956,0.059375032,0.02579957556,0.02461543399,0.02920858182,-0.03518132993,0.001327955523,0.004457556225,0.02429323569,-0.006071640638,0.0232040297,-0.007700739212,
POWERGRID.NS,0.0008314640619,0.04639607542,0.007633924782,0.03046160523,0.02901707786,-0.01430637565,0.007667034229,-0.0004636709689,0.03003379987,-0.002588687426,0.03068086611,0.008361129539,
RELIANCE.NS,-0.01545755659,0.02669123709,-0.009839894842,0.02388863321,0.05413394429,-0.01505734157,0.03731877082,0.02311088005,0.02142174307,0.02327443061,-0.009220254516,0.01847168206,
SBIN.NS,-0.000009153928742,0.03279969973,0.008873353079,0.02815952724,0.05974920486,-0.02780418585,0.02020012658,-0.01174835945,0.03405140098,-0.02514721554,0.02937740386,-0.0005629871398,
SUNPHARMA.NS,0.004586480425,0.04307016408,0.007239943615,0.03543065443,0.04376936132,-0.02054374774,0.004476652585,-0.02461149622,-0.01711429938,-0.01063667158,0.04625998937,0.03249862732,
,0.07958817829,0.3010389084,0.1179561749,0.1792926486,0.5495296692,0.04388831226,0.06030117451,0.0827423111,0.1490187048,0.08269886645,0.1719763062,0.1849616949,
TATASTEEL.NS,-0.003476322325,0.0338611428,-0.01039939826,0.04406029199,0.1034116389,-0.04081887056,-0.0117566799,0.01923830435,0.03596726386,0.009808201644,-0.01344355111,0.02912152803,
TCS.NS,-0.00223528637,0.01615716719,-0.01056082562,0.01376354104,0.04862835223,-0.006849600778,0.03018665814,0.01717197727,-0.001770017297,0.00009542857894,0.01666775425,0.0331870954,
TECHM.NS,0.01217495055,0.01297289614,-0.01854543909,0.04022466725,0.05306833123,-0.02242105031,0.01845309556,0.02798524048,0.003304745571,-0.01915068662,0.03287652291,0.0477237652,
TITAN.NS,-0.01885702509,0.03248143819,0.002958018707,0.03945991198,0.045578973,-0.008374709058,0.01485057517,0.06109454439,0.02511110054,-0.0005490476367,0.03257901925,0.01201439674,
TRENT.NS,0.02524233882,0.0923101442,0.008096223912,0.04561362774,0.04265957489,0.03391856733,0.005211066963,0.01454998109,0.0402633306,0.008924156398,0.03504243822,0.005748469362,
ULTRACEMCO.NS,0.01126777642,0.01911559684,0.01425852107,-0.002718961355,0.06292322924,-0.01034153243,-0.002130042933,-0.003228604125,0.01791526758,0.01167474211,0.02194911132,0.01781446103,
