Ticker,Date,Open,Close,Return,FY,Avg Return,Neg Returns Count,Semivariance,S/R Ratio
ADANIPORTS.NS,2012-04-01,120.123266,118.6379776,-0.01236470183,FY13,0.005863915307,8,0.001759079813,0.1398121508
ADANIPORTS.NS,2012-05-01,119.659125,114.5998383,-0.04228082681,FY13,0.005863915307,8,0.001759079813,0.1398121508
ADANIPORTS.NS,2012-06-01,115.1104003,112.4647217,-0.02298383644,FY13,0.005863915307,8,0.001759079813,0.1398121508
ADANIPORTS.NS,2012-07-01,112.7432082,112.5051193,-0.002111780281,FY13,0.005863915307,8,0.001759079813,0.1398121508
ADANIPORTS.NS,2012-08-01,113.5325654,106.2470474,-0.06417117334,FY13,0.005863915307,8,0.001759079813,0.1398121508
ADANIPORTS.NS,2012-09-01,104.8926907,119.0901031,0.1353517806,FY13,0.005863915307,8,0.001759079813,0.1398121508
ADANIPORTS.NS,2012-10-01,119.6505406,118.8565903,-0.00663557629,FY13,0.005863915307,8,0.001759079813,0.1398121508
ADANIPORTS.NS,2012-11-01,117.2220249,121.5653076,0.03705176325,FY13,0.005863915307,8,0.001759079813,0.1398121508
ADANIPORTS.NS,2012-12-01,121.7521316,126.0954056,0.03567308376,FY13,0.005863915307,8,0.001759079813,0.1398121508
ADANIPORTS.NS,2013-01-01,127.2629589,140.6197357,0.1049541587,FY13,0.005863915307,8,0.001759079813,0.1398121508
ADANIPORTS.NS,2013-02-01,141.6938502,129.5046387,-0.08602498649,FY13,0.005863915307,8,0.001759079813,0.1398121508
ADANIPORTS.NS,2013-03-01,130.3452839,129.5513611,-0.006090921238,FY13,0.005863915307,8,0.001759079813,0.1398121508
ADANIPORTS.NS,2013-04-01,131.5128405,135.4357758,0.02982929464,FY14,0.02767869518,5,0.005948874203,0.3588626173
ADANIPORTS.NS,2013-05-01,135.4357698,142.0207825,0.04862092669,FY14,0.02767869518,5,0.005948874203,0.3588626173
ADANIPORTS.NS,2013-06-01,141.0400396,140.3862457,-0.004635519901,FY14,0.02767869518,5,0.005948874203,0.3588626173
ADANIPORTS.NS,2013-07-01,140.946607,117.8334808,-0.1639849774,FY14,0.02767869518,5,0.005948874203,0.3588626173
ADANIPORTS.NS,2013-08-01,119.0094896,118.4920425,-0.004347947637,FY14,0.02767869518,5,0.005948874203,0.3588626173
ADANIPORTS.NS,2013-09-01,118.1627652,129.8755646,0.09912428256,FY14,0.02767869518,5,0.005948874203,0.3588626173
ADANIPORTS.NS,2013-10-01,130.0166826,136.8844147,0.05282192984,FY14,0.02767869518,5,0.005948874203,0.3588626173
ADANIPORTS.NS,2013-11-01,136.8844088,148.5972137,0.08556712223,FY14,0.02767869518,5,0.005948874203,0.3588626173
ADANIPORTS.NS,2013-12-01,149.1616926,146.1982117,-0.01986757407,FY14,0.02767869518,5,0.005948874203,0.3588626173
ADANIPORTS.NS,2014-01-01,145.3985456,138.2485657,-0.04917504448,FY14,0.02767869518,5,0.005948874203,0.3588626173
ADANIPORTS.NS,2014-02-01,137.731148,157.3465271,0.1424178874,FY14,0.02767869518,5,0.005948874203,0.3588626173
ADANIPORTS.NS,2014-03-01,158.0521275,176.3504486,0.1157739623,FY14,0.02767869518,5,0.005948874203,0.3588626173
