Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-November-2023,8610.05,8652.85,8544.00,8545.50,8560.056225299724353226,60222,4403,515503706.00,50836,84.41,108.85,-64.55
23-November-2023,8774.95,8774.95,8588.85,8607.10,8611.671457503103155419,30614,3890,263637710.00,25239,82.44,186.10,-167.85
22-November-2023,8749.95,8774.35,8617.90,8760.30,8693.617267165193745751,2942,702,25576622.00,859,29.20,156.45,10.35
21-November-2023,8749.95,8749.95,8661.90,8704.00,8696.539661898569570871,2307,619,20062917.00,973,42.18,88.05,-45.95
20-November-2023,8790.05,8801.15,8651.00,8663.50,8705.551957195156294001,3551,978,30913415.00,1785,50.27,150.15,-126.55
17-November-2023,8768.05,8870.65,8768.05,8792.90,8817.418519909842223891,26620,7493,234719681.00,2768,10.40,102.60,24.85
16-November-2023,8778.00,8810.00,8700.00,8775.35,8788.403422873057227562,22262,767,195647437.00,20854,93.68,110.00,-2.65
15-November-2023,8701.00,8817.00,8697.90,8765.70,8763.278887688984881209,3704,789,32459185.00,1314,35.48,119.10,64.70
13-November-2023,8714.10,8724.75,8660.00,8676.00,8687.608319827120475418,1851,496,16080763.00,903,48.78,64.75,-38.10
12-November-2023,8720.30,8746.00,8689.65,8714.00,8720.706354102405922270,1621,509,14136265.00,1157,71.38,56.35,-6.30
10-November-2023,8619.95,8730.00,8592.15,8720.30,8688.608282342657342657,9152,2883,79518143.00,2156,23.56,137.85,100.35
9-November-2023,8675.10,8719.00,8619.35,8629.65,8655.054667354306343476,1939,436,16782151.00,688,35.48,99.65,-45.45
8-November-2023,8685.05,8710.80,8662.00,8698.10,8687.052274541101356743,2506,494,21769753.00,1193,47.61,48.80,13.05
7-November-2023,8638.35,8692.20,8587.65,8685.05,8651.274328081556997219,3237,680,28004175.00,1600,49.43,104.55,46.70
