Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-September-2024,509.00,511.75,507.00,511.15,510.087041914280569061,355392,11443,181280854.00,206847,58.20,4.75,2.15
4-September-2024,502.95,508.10,500.30,506.65,505.684419692340966233,184945,5109,93523805.00,86016,46.51,7.80,3.70
3-September-2024,510.20,516.00,508.00,509.05,512.560064534764934232,283878,6409,145504526.00,80748,28.44,8.00,-1.15
2-September-2024,503.80,512.85,503.80,509.90,510.397235060530717877,590031,14623,301150191.00,287911,48.80,9.05,6.10
30-August-2024,504.90,509.10,500.35,501.85,502.902133677673246018,406575,11129,204467435.00,72636,17.87,8.75,-3.05
29-August-2024,499.90,507.65,497.40,504.95,503.574900060431875118,352463,9646,177491520.00,169090,47.97,10.25,5.05
28-August-2024,500.95,502.20,496.45,497.15,498.914127799152597393,354259,11668,176744820.00,173006,48.84,5.75,-3.80
27-August-2024,507.15,507.50,500.30,500.60,502.851528081892486264,418793,12260,210590700.00,216597,51.72,7.20,-6.55
26-August-2024,506.00,507.95,502.05,505.70,506.144952593642064988,249861,9466,126465884.00,136364,54.58,5.90,-0.30
23-August-2024,504.05,506.50,500.05,505.70,504.505830997076672335,734437,17556,370527749.00,199690,27.19,6.45,1.65
22-August-2024,508.65,508.65,501.55,504.60,505.065731835177303606,208879,8934,105497625.00,77415,37.06,7.10,-4.05
21-August-2024,500.70,508.40,498.90,505.30,504.741028811960748871,558761,24098,282029602.00,295794,52.94,9.50,4.60
20-August-2024,501.95,503.50,497.80,498.85,500.148568032730680441,131253,4612,65646000.00,50956,38.82,5.70,-3.10
19-August-2024,505.95,509.35,499.45,501.15,504.781759393119743816,321645,6059,162360529.00,160785,49.99,9.90,-4.80
16-August-2024,496.90,504.35,492.80,502.55,499.262629598035888451,981207,15879,489879987.00,313768,31.98,11.55,5.65
14-August-2024,492.75,498.95,490.00,491.90,493.696650466139187750,155962,4043,76997917.00,48842,31.32,8.95,-0.85
13-August-2024,495.05,497.60,489.30,489.85,492.670650901428236946,256260,8657,126251781.00,139990,54.63,8.30,-5.20
12-August-2024,492.20,499.90,492.20,494.35,496.981483973131578675,289857,6338,144053562.00,157164,54.22,7.70,2.15
9-August-2024,498.65,498.65,493.25,495.75,495.265733218287262163,474013,11672,234762396.00,140337,29.61,5.40,-2.90
8-August-2024,494.55,497.95,492.55,494.05,495.141174543888890356,378581,9310,187451041.00,142209,37.56,5.40,-0.50
7-August-2024,485.25,495.50,485.25,492.50,492.341478584001564639,255650,6707,125867099.00,99161,38.79,10.25,7.25
6-August-2024,485.15,491.65,484.10,485.20,486.081345342246870588,697815,6655,339194854.00,534801,76.64,7.55,0.05
5-August-2024,467.15,491.75,467.15,485.80,486.016357243528949001,1743998,45487,847611555.00,,,24.60,18.65
2-August-2024,482.40,499.35,482.40,489.30,491.014611599044301601,1919434,34376,942470140.00,581766,30.31,16.95,6.90
1-August-2024,497.40,497.40,491.00,493.75,493.281563046451635242,288795,6242,142457249.00,106234,36.79,6.40,-3.65
31-July-2024,494.80,498.00,490.40,495.05,493.737008321723570584,777363,17597,383812882.00,458834,59.02,7.60,0.25
30-July-2024,496.90,497.70,488.85,490.00,492.347615648837935495,403506,8774,198665217.00,170235,42.19,8.85,-6.90
29-July-2024,508.95,508.95,494.05,495.90,498.385795255120061384,903163,20344,450123610.00,464411,51.42,14.90,-13.05
26-July-2024,494.95,506.25,487.50,502.60,498.442312125459467188,1028093,18249,512445052.00,314709,30.61,18.75,7.65
25-July-2024,490.00,495.90,484.75,489.80,490.320762005960550634,1151907,26682,564803918.00,573323,49.77,11.15,-0.20
24-July-2024,496.90,510.60,490.65,494.05,500.274246053879548544,1556212,36310,778532785.00,397416,25.54,19.95,-2.85
23-July-2024,467.05,497.50,466.55,492.05,482.074502819514660473,1895539,30989,913791021.00,562017,29.65,30.95,25.00
22-July-2024,475.00,479.40,465.75,466.30,471.137577840306287190,433580,9426,204275831.00,171595,39.58,13.65,-8.70
19-July-2024,471.55,479.35,469.50,474.30,474.548043354355592832,1079015,21573,512044457.00,361885,33.54,9.85,2.75
18-July-2024,464.95,470.80,462.50,470.10,467.554463491505693985,637427,14076,298031839.00,358061,56.17,8.30,5.15
16-July-2024,463.00,466.65,461.30,465.50,464.386676285924241645,447713,6423,207911952.00,204500,45.68,5.35,2.50
15-July-2024,459.00,466.20,457.20,462.80,462.740929408949509452,522375,8219,241724293.00,316872,60.66,9.00,3.80
12-July-2024,459.45,463.50,455.80,459.00,458.918940073737393441,2050520,34803,941022465.00,842478,41.09,7.70,-0.45
11-July-2024,450.55,459.45,448.65,458.70,455.676211103694723315,440466,9599,200709878.00,198546,45.08,10.80,8.15
10-July-2024,453.55,455.40,446.35,451.30,450.675844798618092995,1185608,27482,534324887.00,751080,63.35,9.05,-2.25
