Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-June-2024,323.45,334.30,322.60,333.05,330.461642986680336862,569609,9711,188233926.00,151370,26.57,11.70,9.60
21-June-2024,325.35,329.50,322.90,325.80,326.820294327764840787,1531354,26865,500477565.00,349307,22.81,6.60,0.45
20-June-2024,327.95,327.95,322.30,324.60,324.007666065406634773,408032,8896,132205496.00,165027,40.44,5.65,-3.35
19-June-2024,333.70,334.85,325.65,327.55,329.837298056410201434,559686,6980,184605318.00,290377,51.88,9.20,-6.15
18-June-2024,321.55,332.25,321.55,331.70,328.699249829942904949,1042297,31970,342602242.00,689921,66.19,10.70,10.15
14-June-2024,325.05,325.65,319.45,321.50,321.322446561045224008,340903,7450,109539786.00,97677,28.65,6.20,-3.55
13-June-2024,327.45,328.15,320.50,321.40,322.842429736584083302,365126,4727,117878165.00,109600,30.02,7.65,-6.05
12-June-2024,320.35,327.10,316.90,324.60,323.281365513807415080,1000151,19233,323330181.00,510504,51.04,10.20,4.25
11-June-2024,317.50,319.55,315.15,316.55,317.194745860935423598,400332,6806,126983207.00,93999,23.48,4.40,-0.95
10-June-2024,314.80,323.25,311.75,315.75,319.183913146439507523,1338621,17437,427266289.00,476347,35.58,11.50,0.95
7-June-2024,299.65,310.50,296.80,309.35,307.040357683156639914,2045162,28037,627947272.00,477450,23.35,13.70,9.70
6-June-2024,304.20,311.40,298.10,300.50,304.838396943195028277,815492,17198,248593274.00,304537,37.34,13.30,-3.70
5-June-2024,297.95,301.00,279.35,298.75,288.808933832432543961,920859,25239,265952306.00,278388,30.23,21.65,0.80
4-June-2024,337.95,337.95,280.00,295.90,304.487921613388284558,3464163,73677,1054795792.00,1179393,34.05,57.95,-42.05
3-June-2024,330.25,346.90,325.45,337.70,337.622334021534082382,1459361,19139,492712867.00,424130,29.06,21.45,7.45
31-May-2024,309.45,311.25,305.65,309.90,308.743762824244375910,968868,16799,299131952.00,205116,21.17,5.60,0.45
30-May-2024,314.80,317.35,303.70,306.50,309.184618980507594008,432117,6831,133603930.00,187507,43.39,13.65,-8.30
29-May-2024,309.75,318.70,309.00,317.55,316.532274093704883017,809008,9690,256077142.00,248308,30.69,9.70,7.80
28-May-2024,319.40,319.40,312.00,312.80,315.268914852136854641,358541,9472,113036832.00,135657,37.84,7.40,-6.60
27-May-2024,321.85,321.85,314.70,318.00,318.233619608221557464,321253,6898,102233505.00,90703,28.23,7.15,-3.85
24-May-2024,317.70,322.95,317.45,318.55,319.846459824980111376,651126,24671,208260346.00,163154,25.06,5.50,0.85
23-May-2024,319.45,320.70,308.95,319.75,314.461066998765206860,1512804,22261,475717960.00,391507,25.88,11.75,0.30
22-May-2024,328.35,328.35,320.25,325.80,324.089463639910167329,379372,6108,122950468.00,112305,29.60,8.10,-2.55
21-May-2024,316.55,327.40,312.00,325.45,322.321416338414112005,513832,18900,165619058.00,164541,32.02,15.40,8.90
18-May-2024,316.75,318.65,315.05,316.85,316.889628235676378208,147728,3357,46813471.00,78452,53.11,3.60,0.10
17-May-2024,315.75,316.10,310.90,313.35,314.120808899524721519,809841,14920,254387910.00,193903,23.94,5.20,-2.40
16-May-2024,314.80,315.80,305.35,312.55,310.115669774679743905,545579,8994,169192597.00,163173,29.91,10.45,-2.25
15-May-2024,310.55,316.30,308.95,315.00,312.545743243437075966,348587,5914,108949383.00,127886,36.69,7.35,4.45
14-May-2024,308.40,312.95,307.85,309.20,310.585286279632956120,287813,5636,89390483.00,79763,27.71,5.10,0.80
13-May-2024,303.90,307.60,297.60,306.45,302.739024091719888359,498387,7828,150881194.00,238993,47.95,10.00,2.55
10-May-2024,295.75,304.60,295.75,303.90,302.301253358712137771,594722,10266,179785206.00,73722,12.40,8.85,8.15
9-May-2024,303.25,304.25,295.40,296.10,300.394741834024794703,326844,6975,98182219.00,106763,32.66,8.85,-7.15
8-May-2024,291.60,302.70,291.60,301.90,297.564190837796058948,635262,18064,189031223.00,331692,52.21,11.10,10.30
7-May-2024,306.85,308.00,294.55,295.25,298.497738251816159207,488118,12024,145702119.00,183036,37.50,13.45,-11.60
6-May-2024,310.65,310.65,303.15,306.90,306.388372846011947374,336643,4066,103143501.00,107207,31.85,7.50,-3.75
3-May-2024,313.40,316.05,308.30,310.70,312.339509364547104136,721391,12682,225318911.00,162057,22.46,7.75,-2.70
2-May-2024,302.35,317.40,302.05,313.45,312.874802190657821678,1201283,12637,375851181.00,233381,19.43,15.35,11.10
30-April-2024,294.00,304.30,293.05,301.65,300.127588644506209533,995888,14074,298893464.00,430534,43.23,11.25,7.65
29-April-2024,292.65,294.55,289.80,293.70,292.066461388611780970,254614,4373,74364210.00,65163,25.59,4.75,1.05
26-April-2024,294.00,296.05,291.40,292.10,293.408534259289853026,665834,9735,195361378.00,96280,14.46,4.65,-1.90
25-April-2024,291.65,294.40,289.25,293.10,292.126210771181672363,595385,9767,173927564.00,269356,45.24,5.15,1.45
24-April-2024,285.00,291.90,284.50,290.55,289.536234599472343614,394954,5112,114353494.00,143806,36.41,7.40,5.55
23-April-2024,284.45,287.00,280.75,285.00,283.696939896234955676,217607,4558,61734440.00,92690,42.60,6.25,0.55
22-April-2024,284.45,284.60,281.65,283.55,283.447208151527347579,564017,9029,159869044.00,300073,53.20,2.95,-0.90
19-April-2024,279.55,282.35,274.70,281.70,280.193355705343320608,1039990,16818,291398288.00,239993,23.08,7.65,2.15
18-April-2024,287.00,289.10,277.75,280.20,282.506567906785165245,1405699,15090,397119200.00,427008,30.38,11.35,-6.80
16-April-2024,273.00,275.70,271.25,274.35,273.807884398624781290,424078,5580,116115900.00,237099,55.91,4.45,1.35
15-April-2024,271.65,276.15,268.35,274.15,272.928039031272043263,255180,4457,69645777.00,64233,25.17,7.80,2.50
12-April-2024,281.00,284.35,274.70,275.20,277.487788919112254249,884893,12394,245547002.00,223411,25.25,9.65,-5.80
10-April-2024,281.35,285.45,280.60,282.45,283.086842156792355540,153209,2805,43371452.00,47883,31.25,4.85,1.10
9-April-2024,283.75,284.40,280.65,280.95,281.959550155274821358,331670,4478,93517524.00,129852,39.15,3.75,-2.80
8-April-2024,280.05,284.15,279.55,281.75,282.205953319089129180,246182,4634,69474026.00,63546,25.81,4.60,1.70
5-April-2024,283.15,283.15,275.35,278.30,277.742950990482725320,472194,6796,131148555.00,103389,21.90,7.80,-4.85
4-April-2024,283.35,286.70,275.05,277.60,280.516656285900150867,722490,10780,202670479.00,243976,33.77,11.65,-5.75
3-April-2024,281.20,283.00,278.65,280.30,281.269432289808259310,212996,4525,59909264.00,75470,35.43,4.35,-0.90
2-April-2024,280.00,281.70,278.50,279.50,279.759700762333148348,273896,2588,76625063.00,84505,30.85,3.20,-0.50
1-April-2024,281.30,281.35,277.75,280.00,279.097795774315019930,507752,6850,141712464.00,165661,32.63,3.60,-1.30
28-March-2024,272.00,279.45,271.70,277.05,276.310745304466879812,1034973,11071,285974161.00,341281,32.97,7.75,5.05
27-March-2024,272.40,272.75,269.25,271.05,271.589902147458983994,996806,9408,270722444.00,734936,73.73,3.50,-1.35
26-March-2024,270.00,274.05,266.40,270.00,271.096072246419110053,1069008,7684,289803870.00,690333,64.58,7.65,0.00
22-March-2024,273.70,278.20,271.50,275.70,276.451673960495176764,1675846,13450,463290432.00,846914,50.54,6.70,2.00
21-March-2024,267.45,274.50,267.35,273.75,271.490790058750626767,2008319,10384,545240112.00,1580853,78.72,7.15,6.30
20-March-2024,259.40,265.10,259.15,264.75,263.195127877059037391,572112,6252,150577091.00,347765,60.79,5.95,5.35
19-March-2024,263.00,266.45,258.30,258.95,261.159134779723724689,1392524,11746,363670363.00,1077725,77.39,8.15,-4.05
18-March-2024,265.65,266.20,259.45,265.00,263.140677254012267876,297525,4399,78290930.00,56799,19.09,6.75,-0.65
15-March-2024,268.55,271.90,257.75,265.55,262.689468314786079920,2453463,31063,644498891.00,1520880,61.99,14.15,-3.00
14-March-2024,263.70,268.40,260.75,266.55,265.422943451534730558,840571,10790,223106829.00,357877,42.58,7.65,2.85
13-March-2024,283.65,283.65,261.90,264.30,269.660646049189898691,1476482,15118,398149090.00,931998,63.12,21.75,-19.35
12-March-2024,285.30,288.65,282.85,285.05,285.436156316974678476,551981,4426,157555335.00,287407,52.07,5.80,-0.25
11-March-2024,290.40,292.00,284.45,285.50,287.888768428877098687,1329164,12501,382651387.00,1108344,83.39,7.55,-4.90
7-March-2024,294.00,298.95,291.00,292.55,293.212198026776156337,647367,10168,189815901.00,139939,21.62,7.95,-1.45
6-March-2024,290.45,294.70,286.50,294.05,289.213022525567500381,596167,5255,172419260.00,270392,45.36,8.20,3.60
5-March-2024,292.45,295.40,289.75,294.95,293.150472730483705147,317094,5084,92956256.00,99299,31.32,5.65,2.50
4-March-2024,287.95,297.05,287.95,294.45,294.148643366916187168,974803,13654,286736980.00,459035,47.09,9.10,6.50
2-March-2024,287.80,289.95,286.05,286.90,287.595624925152688515,25051,545,7204558.00,14563,58.13,3.90,-0.90
1-March-2024,285.00,289.35,284.55,287.65,287.707793104483436651,666230,10095,191679563.00,87009,13.06,4.80,2.65
29-February-2024,279.95,284.70,274.40,282.55,278.372322821563980521,908886,9794,253008707.00,468249,51.52,10.30,2.60
28-February-2024,291.80,293.30,278.45,279.55,286.081937162777756561,733196,12946,209754132.00,270379,36.88,14.85,-12.25
27-February-2024,286.80,293.30,284.35,292.50,290.762487280822572393,711524,7027,206884488.00,211052,29.66,8.95,5.70
26-February-2024,283.00,291.45,282.30,287.75,287.900793462851224926,1266852,15109,364727696.00,549299,43.36,9.15,4.75
23-February-2024,282.25,285.15,279.00,282.20,282.069345191940952851,715767,9897,201895929.00,97561,13.63,6.15,-0.05
22-February-2024,280.10,283.40,273.30,282.55,277.171925529300066026,622473,9100,172532040.00,204081,32.79,10.10,2.45
21-February-2024,287.90,289.30,279.35,280.15,283.128299737537338364,811163,12587,229663201.00,303681,37.44,9.95,-7.75
20-February-2024,278.00,288.80,278.00,287.95,285.956167029836410041,1864601,19402,533194155.00,772206,41.41,10.80,9.95
19-February-2024,275.35,278.30,273.50,276.45,276.267145547645383225,468314,7909,129379772.00,207199,44.24,4.80,1.10
16-February-2024,282.15,282.55,273.25,274.85,276.457827596844649162,1034053,13008,285872046.00,226118,21.87,9.30,-7.30
15-February-2024,272.65,283.25,271.50,281.50,278.396906868723564366,770740,9942,214571632.00,334842,43.44,11.75,8.85
14-February-2024,269.85,274.70,266.95,273.85,271.096515284445452125,507215,6754,137504219.00,252270,49.74,7.75,4.00
13-February-2024,269.80,270.60,264.25,270.25,267.320759675805111405,376687,4381,100696255.00,110530,29.34,6.35,0.45
12-February-2024,273.55,275.90,266.15,270.10,270.040216741991347215,994362,14843,268517730.00,454135,45.67,9.75,-3.45
9-February-2024,278.80,279.50,268.95,273.10,273.552725265455988885,1451088,19321,396949077.00,331707,22.86,10.55,-5.70
8-February-2024,273.35,287.85,271.00,276.20,281.291681724006205673,2520919,25963,709113545.00,746165,29.60,16.85,2.85
7-February-2024,272.85,274.35,267.05,267.95,270.426307212142715393,831445,15221,224844601.00,333812,40.15,7.30,-4.90
6-February-2024,284.75,284.75,272.30,274.35,274.875087053316588651,700720,8253,192610471.00,244112,34.84,12.45,-10.40
5-February-2024,279.60,289.45,275.00,282.75,283.099256168832661744,652433,9298,184703297.00,177392,27.19,14.45,3.15
2-February-2024,264.65,281.45,264.00,276.70,276.731602325153012165,1677481,24402,464212005.00,426852,25.45,17.45,12.05
1-February-2024,259.30,270.90,258.45,265.80,266.381618422585021069,1219286,16038,324795378.00,466729,38.28,12.45,6.50
31-January-2024,254.85,260.00,252.40,259.35,255.822421145907838173,1228947,21579,314392197.00,791326,64.39,7.60,4.50
30-January-2024,254.85,256.95,251.45,254.15,253.971157204941914357,512433,9009,130143202.00,307511,60.01,5.50,-0.70
29-January-2024,246.45,255.00,245.20,253.80,251.445288213577730530,751127,8346,188867345.00,338295,45.04,9.80,7.35
25-January-2024,245.05,248.35,243.10,245.45,246.147682034980117211,6416102,17028,1579308635.00,5579877,86.97,5.25,0.40
24-January-2024,237.10,247.00,234.95,246.20,242.535880156742191354,843168,7628,204498493.00,379587,45.02,12.05,9.10
23-January-2024,240.15,246.80,236.50,237.90,242.858459465443446676,1472398,18281,357584310.00,622811,42.30,10.30,-2.25
20-January-2024,237.10,240.70,236.65,237.25,239.221630594394432739,469890,6613,112407852.00,169290,36.03,4.05,0.15
19-January-2024,234.85,236.70,232.45,235.45,233.878117289551606253,887189,15778,207494093.00,177772,20.04,4.25,0.60
18-January-2024,228.90,235.70,226.10,233.45,231.761505757730465962,669882,10035,155252861.00,116885,17.45,9.60,4.55
17-January-2024,238.90,241.20,237.90,239.10,239.564629732985496412,395971,7731,94860646.00,155863,39.36,3.30,0.20
16-January-2024,241.40,242.40,237.80,239.10,240.031413392335098619,237733,2883,57063388.00,128600,54.09,4.60,-2.30
15-January-2024,240.15,241.50,237.05,241.10,239.789338427384940552,422977,7604,101425375.00,182380,43.12,4.45,0.95
12-January-2024,242.80,242.80,239.00,239.50,239.750477236253061914,591950,9091,141920295.00,90319,15.26,3.80,-3.30
11-January-2024,242.95,243.05,239.25,241.85,241.038811222993449995,225038,3724,54242892.00,88605,39.37,3.80,-1.10
10-January-2024,241.30,242.15,238.05,239.00,240.181303970597544582,268549,3194,64500449.00,100652,37.48,4.10,-2.30
9-January-2024,242.95,244.55,241.50,242.25,243.072722139135575349,226671,4386,55097537.00,90407,39.88,3.05,-0.70
8-January-2024,241.65,245.20,240.55,242.25,242.973521654906293031,514156,7708,124926294.00,233407,45.40,4.65,0.60
5-January-2024,242.25,244.90,239.25,241.30,241.653721508846589664,743959,11498,179780461.00,173128,23.27,5.65,-0.95
4-January-2024,238.85,243.10,237.10,241.45,241.183301391245689125,382463,5015,92243689.00,133089,34.80,6.00,2.60
3-January-2024,236.40,238.65,234.70,236.95,237.082603240231492485,180913,2313,42891325.00,53634,29.65,3.95,0.55
2-January-2024,240.35,240.35,236.30,237.75,238.033471891361112456,454202,3952,108115279.00,139164,30.64,4.05,-2.60
1-January-2024,237.25,239.50,236.65,237.75,238.216323886228229525,393595,6500,93760754.00,154140,39.16,2.85,0.50
29-December-2023,238.00,238.20,235.00,237.20,237.040133444298451655,838702,15801,198806034.00,86410,10.30,3.20,-0.80
28-December-2023,235.70,239.75,234.15,238.70,237.339174640381278221,1013643,12653,240577193.00,633047,62.45,5.60,3.00
27-December-2023,235.00,235.85,232.60,233.60,233.998863316149214599,734593,11825,171893927.00,513345,69.88,3.25,-1.40
26-December-2023,232.70,235.80,231.50,233.30,234.207556468972503336,513335,6949,120226936.00,319221,62.19,4.30,0.60
22-December-2023,233.85,234.20,230.45,231.70,231.905192007813208425,672707,8692,156004246.00,219199,32.58,3.75,-2.15
21-December-2023,223.25,233.20,222.75,232.35,229.819556469327147802,910512,13165,209253464.00,356792,39.19,10.45,9.10
20-December-2023,233.05,235.35,226.20,227.20,231.447040112123522303,1201532,11427,278091025.00,616893,51.34,9.15,-5.85
19-December-2023,232.70,234.40,230.90,233.90,232.996689102800018537,733638,6885,170935225.00,399390,54.44,3.50,1.20
18-December-2023,237.40,237.40,231.45,231.90,233.230853410161751741,888213,15034,207158676.00,527888,59.43,5.95,-5.50
15-December-2023,234.35,238.00,227.35,237.45,234.894344370228457112,8146343,12026,1913529898.00,7459904,91.57,10.65,3.10
14-December-2023,236.55,237.75,231.10,232.10,232.558333226595622046,1249168,14988,290504428.00,756577,60.57,6.65,-4.45
13-December-2023,230.50,237.50,230.50,236.85,235.037754123513617184,729960,7494,171568159.00,307391,42.11,7.00,6.35
12-December-2023,230.75,233.30,229.95,231.45,231.542840593991938231,381554,6150,88346097.00,159532,41.81,3.35,0.70
11-December-2023,228.50,232.85,227.55,230.95,230.614010225734391956,268147,4987,61838455.00,68436,25.52,5.30,2.45
8-December-2023,232.45,233.40,226.45,228.55,229.585004748400036160,1072993,14275,246343103.00,156975,14.63,6.95,-3.90
7-December-2023,225.25,232.35,224.40,229.85,229.013002340875696092,968441,10343,221785581.00,379372,39.17,7.95,4.60
6-December-2023,225.05,226.25,222.45,224.40,224.055200642503870310,928866,10171,208117258.00,335250,36.09,3.80,-0.65
5-December-2023,213.30,223.20,211.70,222.40,217.748199991196463493,1431243,14707,311650587.00,702842,49.11,11.50,9.10
4-December-2023,211.95,214.00,211.70,212.90,212.783315790152697766,9223907,6776,1962693516.00,8864124,96.10,2.30,0.95
1-December-2023,211.65,212.40,209.50,210.35,211.142728785266018482,1088477,15032,229824004.00,377219,34.66,2.90,-1.30
